[DIAG] Server starting at 2026-06-22T00:41:16.467Z
[2026-06-22T00:41:17.525Z] REQ: GET / (original: /)
[2026-06-22T00:41:22.868Z] REQ: GET / (original: /)
[2026-06-22T00:41:23.036Z] REQ: GET /@vite/client (original: /@vite/client)
[2026-06-22T00:41:23.039Z] REQ: GET /src/main.tsx?t=1782088882872 (original: /src/main.tsx?t=1782088882872)
[2026-06-22T00:41:23.112Z] REQ: GET /@react-refresh (original: /@react-refresh)
[2026-06-22T00:41:23.149Z] REQ: GET /src/App.tsx (original: /src/App.tsx)
[2026-06-22T00:41:23.170Z] REQ: GET /src/index.css?t=1782088882872 (original: /src/index.css?t=1782088882872)
[2026-06-22T00:41:23.226Z] REQ: GET /node_modules/vite/dist/client/env.mjs (original: /node_modules/vite/dist/client/env.mjs)
[2026-06-22T00:41:23.289Z] REQ: GET /src/components/Navigation.tsx (original: /src/components/Navigation.tsx)
[2026-06-22T00:41:23.296Z] REQ: GET /src/components/ChangePasswordDialog.tsx (original: /src/components/ChangePasswordDialog.tsx)
[2026-06-22T00:41:23.304Z] REQ: GET /src/components/BackgroundJobProcessor.tsx (original: /src/components/BackgroundJobProcessor.tsx)
[2026-06-22T00:41:23.305Z] REQ: GET /src/utils/email-preloader.ts (original: /src/utils/email-preloader.ts)
[2026-06-22T00:41:23.308Z] REQ: GET /src/components/ui/sonner.tsx (original: /src/components/ui/sonner.tsx)
[2026-06-22T00:41:23.315Z] REQ: GET /src/utils/permissions.ts (original: /src/utils/permissions.ts)
[2026-06-22T00:41:23.316Z] REQ: GET /src/components/PWAInstallPrompt.tsx (original: /src/components/PWAInstallPrompt.tsx)
[2026-06-22T00:41:23.333Z] REQ: GET /src/components/OfflineIndicator.tsx (original: /src/components/OfflineIndicator.tsx)
[2026-06-22T00:41:23.335Z] REQ: GET /src/components/DailyBriefingPopup.tsx (original: /src/components/DailyBriefingPopup.tsx)
[2026-06-22T00:41:23.336Z] REQ: GET /src/components/ThemeProvider.tsx (original: /src/components/ThemeProvider.tsx)
[2026-06-22T00:41:23.338Z] REQ: GET /src/components/ErrorBoundary.tsx (original: /src/components/ErrorBoundary.tsx)
[2026-06-22T00:41:23.339Z] REQ: GET /src/utils/supabase/client.ts (original: /src/utils/supabase/client.ts)
[2026-06-22T00:41:23.340Z] REQ: GET /src/utils/themes.ts (original: /src/utils/themes.ts)
[2026-06-22T00:41:23.340Z] REQ: GET /src/components/LogoBase64.ts (original: /src/components/LogoBase64.ts)
[2026-06-22T00:41:23.340Z] REQ: GET /src/utils/pwa.ts (original: /src/utils/pwa.ts)
[2026-06-22T00:41:23.496Z] REQ: GET /src/components/ui/button.tsx (original: /src/components/ui/button.tsx)
[2026-06-22T00:41:23.500Z] REQ: GET /src/components/ui/dropdown-menu.tsx (original: /src/components/ui/dropdown-menu.tsx)
[2026-06-22T00:41:23.512Z] REQ: GET /src/components/ui/avatar.tsx (original: /src/components/ui/avatar.tsx)
[2026-06-22T00:41:23.513Z] REQ: GET /src/hooks/useAISuggestions.ts (original: /src/hooks/useAISuggestions.ts)
[2026-06-22T00:41:23.515Z] REQ: GET /src/components/Logo.tsx (original: /src/components/Logo.tsx)
[2026-06-22T00:41:23.518Z] REQ: GET /src/utils/subscription-client.ts (original: /src/utils/subscription-client.ts)
[2026-06-22T00:41:23.520Z] REQ: GET /src/components/TrialCountdown.tsx (original: /src/components/TrialCountdown.tsx)
[2026-06-22T00:41:23.522Z] REQ: GET /src/hooks/useAppointmentNotifications.ts (original: /src/hooks/useAppointmentNotifications.ts)
[2026-06-22T00:41:23.524Z] REQ: GET /src/hooks/useTaskNotifications.ts (original: /src/hooks/useTaskNotifications.ts)
[2026-06-22T00:41:23.527Z] REQ: GET /src/hooks/useBidNotifications.ts (original: /src/hooks/useBidNotifications.ts)
[2026-06-22T00:41:23.528Z] REQ: GET /src/hooks/useUnreadEmails.ts (original: /src/hooks/useUnreadEmails.ts)
[2026-06-22T00:41:23.573Z] REQ: GET /src/components/ui/dialog.tsx (original: /src/components/ui/dialog.tsx)
[2026-06-22T00:41:23.574Z] REQ: GET /src/components/ui/input.tsx (original: /src/components/ui/input.tsx)
[2026-06-22T00:41:23.578Z] REQ: GET /src/components/ui/alert.tsx (original: /src/components/ui/alert.tsx)
[2026-06-22T00:41:23.580Z] REQ: GET /src/utils/api.ts (original: /src/utils/api.ts)
[2026-06-22T00:41:23.582Z] REQ: GET /src/utils/server-headers.ts (original: /src/utils/server-headers.ts)
[2026-06-22T00:41:23.584Z] REQ: GET /src/components/ui/label.tsx (original: /src/components/ui/label.tsx)
[2026-06-22T00:41:23.586Z] REQ: GET /src/components/ui/utils.ts (original: /src/components/ui/utils.ts)
[2026-06-22T00:41:23.587Z] REQ: GET /src/utils/supabase/info.tsx (original: /src/utils/supabase/info.tsx)
[2026-06-22T00:41:23.598Z] REQ: GET /src/components/ui/card.tsx (original: /src/components/ui/card.tsx)
[2026-06-22T00:41:23.600Z] REQ: GET /src/components/ui/badge.tsx (original: /src/components/ui/badge.tsx)
[2026-06-22T00:41:23.601Z] REQ: GET /src/utils/ai-prefs-client.ts (original: /src/utils/ai-prefs-client.ts)
[2026-06-22T00:41:23.836Z] REQ: GET /src/utils/portal-client.ts (original: /src/utils/portal-client.ts)
[2026-06-22T00:41:23.869Z] REQ: GET /src/hooks/useNotificationPreferences.ts (original: /src/hooks/useNotificationPreferences.ts)
[2026-06-22T00:41:23.878Z] REQ: GET /src/utils/quotes-client.ts (original: /src/utils/quotes-client.ts)
[2026-06-22T00:41:23.880Z] REQ: GET /src/utils/campaigns-client.ts (original: /src/utils/campaigns-client.ts)
[2026-06-22T00:41:23.883Z] REQ: GET /src/utils/inventory-client.ts (original: /src/utils/inventory-client.ts)
[2026-06-22T00:41:23.886Z] REQ: GET /src/utils/project-managers-client.ts (original: /src/utils/project-managers-client.ts)
[2026-06-22T00:41:23.899Z] REQ: GET /src/utils/contacts-client.ts (original: /src/utils/contacts-client.ts)
[2026-06-22T00:41:23.904Z] REQ: GET /src/utils/users-client.ts (original: /src/utils/users-client.ts)
[2026-06-22T00:41:23.905Z] REQ: GET /src/utils/contacts-diagnostic.ts (original: /src/utils/contacts-diagnostic.ts)
[2026-06-22T00:41:23.909Z] REQ: GET /src/utils/appointments-client.ts (original: /src/utils/appointments-client.ts)
[2026-06-22T00:41:23.912Z] REQ: GET /src/utils/bids-client.ts (original: /src/utils/bids-client.ts)
[2026-06-22T00:41:23.916Z] REQ: GET /src/utils/tasks-client.ts (original: /src/utils/tasks-client.ts)
[2026-06-22T00:41:23.919Z] REQ: GET /src/utils/notes-client.ts (original: /src/utils/notes-client.ts)
[2026-06-22T00:41:23.926Z] REQ: GET /src/utils/settings-client.ts (original: /src/utils/settings-client.ts)
[2026-06-22T00:41:23.932Z] REQ: GET /src/utils/marketing-client.ts (original: /src/utils/marketing-client.ts)
[2026-06-22T00:41:24.021Z] REQ: GET /src/utils/server-function-url.ts (original: /src/utils/server-function-url.ts)
[2026-06-22T00:41:24.026Z] REQ: GET /src/utils/ensure-profile.ts (original: /src/utils/ensure-profile.ts)
[2026-06-22T00:41:24.031Z] REQ: GET /src/lib/global-settings.ts (original: /src/lib/global-settings.ts)
[2026-06-22T00:41:24.033Z] REQ: GET /src/utils/inventory-keywords.ts (original: /src/utils/inventory-keywords.ts)
[2026-06-22T00:41:24.261Z] REQ: GET /src/components/LandingPage.tsx (original: /src/components/LandingPage.tsx)
[2026-06-22T00:41:24.633Z] REQ: GET /src/components/SalesSpaceInfo.tsx (original: /src/components/SalesSpaceInfo.tsx)
[2026-06-22T00:41:24.634Z] REQ: GET /src/components/ModuleDetail.tsx (original: /src/components/ModuleDetail.tsx)
[2026-06-22T00:41:24.635Z] REQ: GET /src/components/DesignSpaceInfo.tsx (original: /src/components/DesignSpaceInfo.tsx)
[2026-06-22T00:41:24.636Z] REQ: GET /src/components/About.tsx (original: /src/components/About.tsx)
[2026-06-22T00:41:24.637Z] REQ: GET /src/components/InventorySpaceInfo.tsx (original: /src/components/InventorySpaceInfo.tsx)
[2026-06-22T00:41:24.638Z] REQ: GET /src/components/MultiDeviceMockup.tsx (original: /src/components/MultiDeviceMockup.tsx)
[2026-06-22T00:41:24.639Z] REQ: GET /src/components/InsightsSpaceInfo.tsx (original: /src/components/InsightsSpaceInfo.tsx)
[2026-06-22T00:41:24.640Z] REQ: GET /src/components/MarketingSpaceInfo.tsx (original: /src/components/MarketingSpaceInfo.tsx)
[2026-06-22T00:41:24.641Z] REQ: GET /src/components/ITSpaceInfo.tsx (original: /src/components/ITSpaceInfo.tsx)
[2026-06-22T00:41:24.642Z] REQ: GET /src/components/MultiLocationBenefits.tsx (original: /src/components/MultiLocationBenefits.tsx)
[2026-06-22T00:41:24.644Z] REQ: GET /src/assets/landing/spaces/space-sales.svg?import (original: /src/assets/landing/spaces/space-sales.svg?import)
[2026-06-22T00:41:24.646Z] REQ: GET /src/components/KnowledgeBase.tsx (original: /src/components/KnowledgeBase.tsx)
[2026-06-22T00:41:24.651Z] REQ: GET /src/components/LumberSuppliersBenefits.tsx (original: /src/components/LumberSuppliersBenefits.tsx)
[2026-06-22T00:41:24.651Z] REQ: GET /src/assets/landing/spaces/space-insights.svg?import (original: /src/assets/landing/spaces/space-insights.svg?import)
[2026-06-22T00:41:24.652Z] REQ: GET /src/components/HomeImprovementBenefits.tsx (original: /src/components/HomeImprovementBenefits.tsx)
[2026-06-22T00:41:24.653Z] REQ: GET /src/components/ProDeskBenefits.tsx (original: /src/components/ProDeskBenefits.tsx)
[2026-06-22T00:41:24.654Z] REQ: GET /src/assets/landing/spaces/space-build.svg?import (original: /src/assets/landing/spaces/space-build.svg?import)
[2026-06-22T00:41:24.655Z] REQ: GET /src/assets/landing/icons/icon-pro-desk.svg?import (original: /src/assets/landing/icons/icon-pro-desk.svg?import)
[2026-06-22T00:41:24.656Z] REQ: GET /src/assets/landing/spaces/space-operations.svg?import (original: /src/assets/landing/spaces/space-operations.svg?import)
[2026-06-22T00:41:24.658Z] REQ: GET /src/assets/landing/icons/icon-multi-location.svg?import (original: /src/assets/landing/icons/icon-multi-location.svg?import)
[2026-06-22T00:41:24.660Z] REQ: GET /src/assets/landing/icons/icon-lumber-yards.svg?import (original: /src/assets/landing/icons/icon-lumber-yards.svg?import)
[2026-06-22T00:41:24.662Z] REQ: GET /src/assets/landing/spaces/space-inventory.svg?import (original: /src/assets/landing/spaces/space-inventory.svg?import)
[2026-06-22T00:41:24.663Z] REQ: GET /src/assets/landing/icons/icon-home-centers.svg?import (original: /src/assets/landing/icons/icon-home-centers.svg?import)
[2026-06-22T00:41:24.665Z] REQ: GET /src/assets/landing/spaces/space-marketing.svg?import (original: /src/assets/landing/spaces/space-marketing.svg?import)
[2026-06-22T00:41:24.822Z] REQ: GET /src/assets/landing/spaces/info-hero-sales.svg?import (original: /src/assets/landing/spaces/info-hero-sales.svg?import)
[2026-06-22T00:41:24.826Z] REQ: GET /src/assets/landing/spaces/info-hero-build.svg?import (original: /src/assets/landing/spaces/info-hero-build.svg?import)
[2026-06-22T00:41:24.831Z] REQ: GET /src/assets/landing/spaces/info-hero-marketing.svg?import (original: /src/assets/landing/spaces/info-hero-marketing.svg?import)
[2026-06-22T00:41:24.837Z] REQ: GET /src/assets/landing/spaces/info-hero-insights.svg?import (original: /src/assets/landing/spaces/info-hero-insights.svg?import)
[2026-06-22T00:41:24.839Z] REQ: GET /src/assets/landing/spaces/info-hero-inventory.svg?import (original: /src/assets/landing/spaces/info-hero-inventory.svg?import)
[2026-06-22T00:41:24.842Z] REQ: GET /src/assets/landing/spaces/info-hero-it.svg?import (original: /src/assets/landing/spaces/info-hero-it.svg?import)
[2026-06-22T00:41:40.342Z] REQ: GET / (original: /)
[2026-06-22T00:41:40.487Z] REQ: GET /@vite/client (original: /@vite/client)
[2026-06-22T00:41:40.489Z] REQ: GET /src/main.tsx?t=1782088900344 (original: /src/main.tsx?t=1782088900344)
[2026-06-22T00:41:40.498Z] REQ: GET /@react-refresh (original: /@react-refresh)
[2026-06-22T00:41:40.614Z] REQ: GET /src/App.tsx (original: /src/App.tsx)
[2026-06-22T00:41:40.619Z] REQ: GET /src/index.css?t=1782088900344 (original: /src/index.css?t=1782088900344)
[2026-06-22T00:41:40.622Z] REQ: GET /node_modules/vite/dist/client/env.mjs (original: /node_modules/vite/dist/client/env.mjs)
[2026-06-22T00:41:40.750Z] REQ: GET /src/components/Navigation.tsx (original: /src/components/Navigation.tsx)
[2026-06-22T00:41:40.757Z] REQ: GET /src/components/BackgroundJobProcessor.tsx (original: /src/components/BackgroundJobProcessor.tsx)
[2026-06-22T00:41:40.759Z] REQ: GET /src/utils/email-preloader.ts (original: /src/utils/email-preloader.ts)
[2026-06-22T00:41:40.763Z] REQ: GET /src/components/ThemeProvider.tsx (original: /src/components/ThemeProvider.tsx)
